query,answer,LLM_answer
研究生新生因故不能按期入学怎么办？,应当向学校请假，假期不得超过2周，未请假或请假逾期的除不可抗力原因外视为放弃入学资格。,研究生新生如果因为特殊原因不能按期入学，应当向学校请假。请假的时间不得超过2周。如果在请假时间结束后仍未到校报到，且未提前向学校申请延期，那么除因不可抗力等正当事由外，将被视为放弃入学资格。
除参军入伍外，申请保留入学资格的时间有什么要求？,新生可以申请保留入学资格，每次时间不超过1年，累计不超过2年。,除参军入伍外，申请保留入学资格的时间要求是每次时间不超过1年，累计时间不超过2年。
研究生在每学期开学时办理注册手续的方式有哪些？ ,研究生在学期间，每学期开学时应当按学校规定办理注册手续，包括学期电子注册、研究生证注册。,方式包括学期电子注册、研究生证注册。
哪些情况属于研究生的正常注册？ ,研究生以下情况均视为正常注册：（一）到校学习；（二）经学校批准出境学习或交流；（三）经导师批准赴外地学习或交流；（四）校外导师联合培养；（五）按学校教学计划安排在外实习或学习；（六）在职人员回原单位培养。,根据提供的上下文，研究生的正常注册情况包括：到校学习、经学校批准出境学习或交流、经导师批准赴外地学习或交流、校外导师联合培养以及按学校教学计划安排在外实习或学习。
研究生不能如期注册，从开学日起请假2 周以上或不满足其他注册必要条件的，应如何处理？,应当履行暂缓注册手续，提交《研究生暂缓注册申请表》，经导师或班主任、培养单位分管领导书面同意，交研究生院审批后生效。,研究生不能如期注册，从开学日起请假2周以上或不满足其他注册必要条件的，应当履行暂缓注册手续。
我校研究生的基本学习年限是多少？,我校硕士研究生基本学习年限为 2-3 年（年限计算截至每年 8 月 31 日，下同），最短学习年限为2年，最长学习年限为 5 年。博士研究生基本学习年限为 3-4 年，最短学习年限为 2 年，最长学习年限为 8 年。直博生基本学习年限为 5-6 年，最短学习年限为 4 年，最长学习年限为 8 年。,我校研究生的基本学习年限是2-3年。
课程考核不合格的研究生可以怎样做？,可以在最长学习年限内再次选修该门课程（重修）， 并进行考核（重考）。重考成绩合格后，记入成绩册，并标注为重考。,"根据提供的信息，课程考核不合格的研究生可以采取以下措施：

1. **重修（重考）**：在最长学习年限内，研究生可以选择再次选修该门课程进行考核（重修），并重新进行考核（重考）。如果重考成绩合格，这些成绩会被记入成绩册，并且会标注为重考。

2. **延长学习期限**：虽然信息中没有明确说明，但根据一般的教育政策和规定，学生如果在规定的学习年限内未能通过课程考核，可能会被允许延长学习期限。不过，这通常需要经过学校或相关部门的批准，并且可能需要额外的经济支持或其他条件。

3. **参加辅导班或补习**：为了提高通过考核的可能性，一些研究生可能会选择参加辅导班或补习来加强学习。

4. **与教师沟通**：如果研究生对考核结果有异议，他们可以与任课教师沟通，寻求帮助或解释。

5. **利用额外资源**：一些研究生可能会利用额外的资源，如图书馆资料、在线课程、学术顾问等，来帮助他们更好地准备课程考核。

6. **考虑转专业或转学**：如果研究生认为当前的课程不符合他们的职业目标或个人发展，他们可能需要考虑转专业或转学。

7. **咨询学校政策**：研究生应咨询学校的政策或联系学校的教务部门，以获取关于课程考核和重修的具体指导和支持。

请注意，具体的操作步骤和可用资源可能因学校而异，因此建议直接咨询所在学校的相关机构。"
有哪些情况下，研究生不得申请转学？ ,研究生有下列情形之一，不得转学：（一）入学未满一学期或者毕业前一年的；（二）由低学历层次转为高学历层次的；（三）以定向就业招生录取的；（四）研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；（五）无正当转学理由的。,"根据提供的上下文，研究生不得申请转学的情形包括：
1. 入学未满一学期或者毕业前一年的；
2. 由低学历层次转为高学历层次的；
3. 以定向就业招生录取的；
4. 研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；
5. 无正当转学理由的。"
哪些情况下，研究生可以申请休学？,研究生有下列情况之一者，可以申请休学：（一）创业；（二）支教；（三）在职研究生单位工作需要；（四）已婚女研究生符合国家计生政策生育；（五）其他原因不能正常在校学习者。,根据提供的上下文信息，研究生可以申请休学的情况包括：创业、支教、在职研究生单位工作需要、已婚女研究生符合国家计生政策生育以及其他原因不能正常在校学习者。
研究生因健康原因不宜在校学习应如何处理？,经指定医院诊断确需休养的，应办理休学手续。,"根据提供的信息，研究生因健康原因不宜在校学习时，应当办理休学。具体操作流程为：
1. 首先，研究生需要向所在学校提出申请，说明自己的健康状况和不宜在校学习的原因。
2. 其次，学校将组织指定的医院对研究生进行诊断，确认其健康状况是否确实需要休养。
3. 如果医院诊断确认需要休养，那么研究生可以按照学校的相关规定办理休学手续。
4. 在办理休学期间，研究生可以暂时离开学校，但仍需遵守学校的相关管理规定，并定期向学校报告自己的健康状况和休养情况。
5. 当研究生的健康状况得到恢复，并且能够继续正常学习时，可以向学校申请恢复学业。
6. 学校将根据研究生的实际情况和培养计划，决定是否允许其恢复学业或继续休学。
7. 如果研究生的健康状况没有改善或者无法坚持正常学习，导师和培养单位认为必须休学，那么研究生可以按照规定办理休学手续。"
